PERSON,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
1120006,0,0,0,1,1,0,1,0,1,0,0,0,1
1120007,1,1,1,1,0,0,1,0,1,1,1,0,1
1120008,1,1,1,0,1,0,0,1,1,1,0,0,1
1120009,1,0,1,0,0,1,0,0,0,0,1,0,0
1120010,0,0,1,0,1,0,1,1,1,1,1,0,0
1120011,0,1,1,0,1,0,1,0,0,1,1,1,0
1120012,1,0,1,1,1,0,1,0,0,1,1,0,1
1120013,1,1,1,1,0,0,1,1,1,1,1,0,1
1120014,1,1,1,1,1,0,1,1,1,1,1,1,1
1120015,1,1,1,1,1,0,0,0,1,1,1,1,1
1120016,0,1,0,1,0,0,0,1,1,0,0,1,0
1120017,0,1,1,1,0,0,0,1,1,1,1,0,0
1120018,1,0,0,1,1,0,1,1,1,1,1,0,1
1120019,1,1,0,1,1,0,0,0,1,0,1,0,0
1120020,0,1,1,0,1,0,0,0,1,0,1,0,1
1120021,1,1,0,0,0,0,0,0,1,1,1,0,1
1120022,0,0,0,0,0,1,1,0,1,0,0,1,1
1120023,1,1,1,1,0,0,1,1,1,1,0,0,1
1120024,1,0,1,0,0,0,0,1,1,1,0,0,1
1120025,1,1,0,1,0,0,0,0,1,0,0,0,1
1120026,1,0,0,1,1,0,0,1,1,0,0,0,0
1120027,0,0,0,0,0,1,0,0,1,0,0,0,1
1120028,1,1,1,0,0,0,0,0,1,1,1,0,0
1120029,1,1,1,1,1,1,0,1,1,1,1,1,1
1120030,1,0,1,1,0,0,0,1,1,1,1,0,0
1120031,1,1,1,0,1,0,0,0,0,1,0,0,1
1120032,0,0,0,0,0,1,1,0,1,1,0,0,0
1120033,1,1,1,1,1,0,1,1,1,1,1,1,1
1120034,0,0,0,0,1,0,0,0,0,0,1,0,0
1120035,1,1,1,1,0,1,0,0,0,1,1,0,1
1120036,1,0,1,1,1,0,0,0,1,1,1,1,1
1120037,1,1,0,1,1,0,1,1,1,1,1,1,1
1120038,1,1,0,1,1,0,0,0,0,1,0,0,1
1120039,0,1,0,1,1,0,1,0,1,1,1,0,1
1120040,1,0,1,0,1,0,0,1,1,1,0,1,1
1120041,1,1,0,0,0,1,0,0,1,1,1,0,1
1120042,1,1,1,1,1,0,1,1,1,0,1,1,1
1120043,1,0,1,1,1,0,0,0,1,1,1,0,1
1120044,1,1,1,1,1,0,1,0,1,1,0,0,0
1120045,0,1,1,0,1,0,1,1,1,1,1,1,1
1120046,1,0,1,0,1,0,0,1,0,1,0,0,1
1120047,1,1,0,0,1,0,0,0,0,1,0,0,1
1120048,0,0,0,0,1,0,0,1,1,1,0,1,0
1120049,1,1,1,1,1,0,1,1,1,1,1,1,1
1120050,1,1,1,0,1,0,0,1,1,1,0,1,1
1120051,0,1,0,1,0,0,0,1,1,0,0,0,0
1120052,0,1,1,0,1,0,1,0,1,1,1,0,0
1120053,0,1,1,0,1,0,1,0,1,0,1,0,1
1120054,0,0,0,0,1,0,0,1,0,1,1,1,0
1120055,0,1,0,1,0,0,0,1,1,1,0,0,0
1120056,0,0,0,0,0,0,1,0,0,1,0,0,1
1120057,1,0,1,1,0,1,1,0,1,0,0,0,0
1120058,1,1,1,1,0,0,0,1,1,1,0,0,0
1120059,1,0,1,0,0,1,1,1,0,0,0,0,0
1120060,0,1,0,1,0,0,1,0,1,1,0,0,1
1120061,1,1,1,1,0,0,1,1,0,1,0,0,0
1120062,0,0,1,1,0,1,0,1,1,0,1,0,0
1120063,1,0,1,0,0,0,0,0,1,0,1,0,1
1120064,1,1,1,1,0,0,1,1,1,1,0,1,1
1120065,1,1,1,1,1,1,1,1,1,0,0,0,1
1120066,1,0,1,1,0,0,0,1,1,0,1,0,1
1120068,1,0,0,0,0,0,1,1,0,1,0,0,1
1120069,1,0,1,0,1,0,1,1,1,0,1,0,0
1120070,1,1,1,0,1,0,1,0,1,1,1,1,1
1120071,1,1,0,0,0,0,1,0,1,0,1,0,1
1120072,1,0,1,1,1,0,0,0,1,0,1,0,0
1120073,1,0,1,0,1,1,1,0,1,1,1,0,0
1120074,1,0,1,0,1,0,0,0,0,1,1,0,0
1120075,0,1,0,1,1,0,0,1,0,1,1,0,0
1120076,1,1,0,0,0,0,1,1,1,1,1,0,1
1120077,0,0,0,1,0,0,0,1,1,1,0,0,0
1120078,1,1,1,1,1,0,1,1,1,1,1,0,0
1120079,0,1,1,1,1,0,1,0,1,1,1,0,1
1120080,0,1,1,1,1,0,0,1,1,1,1,0,1
1120081,1,1,1,1,1,0,1,1,1,0,1,0,1
1120082,0,1,1,0,1,0,0,0,1,1,1,0,1
1120083,1,1,1,1,1,0,1,0,1,1,0,1,1
1120084,1,0,1,0,0,0,1,0,1,1,0,0,1
1120085,1,0,0,0,0,0,1,0,1,0,0,0,1
1120086,1,1,1,0,1,0,0,0,1,0,1,0,0
1120087,1,1,1,0,1,0,1,0,1,0,0,1,0
1120088,1,1,1,0,1,0,1,1,1,0,1,0,0
1120089,0,0,0,0,1,0,0,0,0,0,1,0,0
1120090,1,1,1,0,1,0,1,1,1,1,0,1,1
1120091,0,1,1,1,1,1,1,1,0,1,1,0,0
1120092,1,1,1,1,0,0,0,0,1,0,0,0,1
1120093,1,0,1,1,1,0,1,0,1,1,0,0,0
1120094,1,1,0,0,0,0,1,0,1,1,0,0,1
1120095,1,1,1,1,1,0,1,0,1,1,0,1,1
1120096,1,0,0,0,0,0,0,0,1,0,0,0,0
1120097,0,0,1,0,0,0,0,1,1,0,0,1,0
1120098,1,1,1,0,1,0,1,0,1,0,1,1,1
1120099,0,0,0,0,1,0,0,0,1,1,1,0,1
1120100,1,1,1,1,1,1,1,1,0,0,1,0,0
1120101,1,1,0,1,0,0,0,0,1,1,0,0,0
1120102,1,1,1,1,1,0,1,1,1,0,1,1,1
1120103,0,1,0,1,0,0,0,0,1,1,0,0,1
1120104,1,1,0,0,1,0,1,0,1,1,1,0,0
1120105,1,0,0,0,1,0,1,0,0,1,0,1,0
1120106,0,1,1,1,1,0,0,1,1,0,1,0,0
1120107,1,1,1,1,1,0,0,1,0,1,1,0,0
1120108,1,0,1,1,0,0,1,1,1,0,1,1,0
1120109,0,1,1,1,0,1,0,1,1,1,1,0,1
1120110,0,1,1,1,0,0,0,1,0,1,0,0,0
1120111,1,1,1,1,0,0,0,0,1,1,0,0,0
1120112,0,1,1,1,1,0,1,0,1,1,1,1,0
1120113,1,1,1,1,0,0,1,1,1,1,1,1,1
1120114,1,1,1,1,1,0,1,1,1,0,1,0,1
1120115,1,0,0,0,1,0,0,1,1,1,0,1,0
1120116,1,0,1,1,1,0,0,0,1,1,1,0,0
1120117,1,1,1,1,1,0,1,0,1,0,1,1,1
1120118,0,1,1,1,0,0,1,0,1,1,1,0,0
1120119,1,1,1,1,1,0,1,0,1,0,0,0,1
1120120,1,1,1,1,1,0,1,0,1,1,1,0,1
1120121,1,1,1,0,1,0,1,0,1,1,1,0,0
1120122,1,1,1,1,1,1,1,1,1,1,1,0,1
1120123,1,0,0,1,0,0,0,1,1,0,1,0,1
1120124,0,0,1,1,0,0,1,1,1,0,0,0,1
1120125,1,0,1,1,1,0,1,0,1,0,1,0,1
1120126,1,1,1,1,1,0,0,1,1,1,1,1,1
1120127,1,1,1,1,0,0,1,0,1,1,1,0,1
